A001 : A1 ; ge-0/0/0
B202 : B1 ; ge-0/0/23
B203 : B1 ; ge-0/0/24
B204 : B1 ; ge-0/0/25
B205 : B1 ; ge-0/0/26
B206 : B1 ; ge-0/0/27
B207 : B1 ; ge-0/0/28
B208 : B1 ; ge-0/0/29
B209 : B1 ; ge-0/0/30
B210 : B1 ; ge-0/0/31
B211 : B1 ; ge-0/0/32
B212 : B1 ; ge-0/0/33
B213 : B1 ; ge-0/0/34
B301 : B1 ; ge-0/0/35
B302 : B1 ; ge-0/0/36
B303 : B1 ; ge-0/0/37
B304 : B1 ; ge-0/0/38
B305 : B1 ; ge-0/0/39
B306 : B1 ; ge-0/0/40
B307 : B1 ; ge-0/0/41
B308 : B1 ; ge-0/0/42
B309 : B1 ; ge-0/0/43
B310 : B1 ; ge-0/0/44
B311 : B2 ; ge-0/0/45
B312 : B2 ; ge-0/0/0
B313 : B2 ; ge-0/0/1
C001 : C1 ; ge-0/0/0
C002 : C1 ; ge-0/0/1
C003 : C1 ; ge-0/0/2
C004 : C1 ; ge-0/0/3
C005 : C1 ; ge-0/0/4
C006 : C1 ; ge-0/0/5
C007 : C1 ; ge-0/0/6
C008 : C1 ; ge-0/0/7
C009 : C1 ; ge-0/0/8
C010 : C1 ; ge-0/0/9
C011 : C1 ; ge-0/0/10
C012 : C1 ; ge-0/0/11
C101 : C1 ; ge-0/0/12
C102 : C1 ; ge-0/0/13
C103 : C1 ; ge-0/0/14
C104 : C1 ; ge-0/0/15
C105 : C1 ; ge-0/0/16
C106 : C1 ; ge-0/0/17
C107 : C1 ; ge-0/0/18
C108 : C1 ; ge-0/0/19
C109 : C1 ; ge-0/0/20
C110 : C1 ; ge-0/0/21
C111 : C1 ; ge-0/0/22
C112 : C1 ; ge-0/0/23
C113 : C1 ; ge-0/0/24
C201 : C1 ; ge-0/0/25
C202 : C1 ; ge-0/0/26
C203 : C1 ; ge-0/0/27
C204 : C1 ; ge-0/0/28
C205 : C1 ; ge-0/0/29
C206 : C1 ; ge-0/0/30
C207 : C1 ; ge-0/0/31
C208 : C1 ; ge-0/0/32
C209 : C1 ; ge-0/0/33
C210 : C1 ; ge-0/0/34
C211 : C1 ; ge-0/0/35
C212 : C1 ; ge-0/0/36
C213 : C1 ; ge-0/0/37
C301 : C1 ; ge-0/0/38
C302 : C1 ; ge-0/0/39
C303 : C1 ; ge-0/0/40
C304 : C1 ; ge-0/0/41
C305 : C1 ; ge-0/0/42
C306 : C1 ; ge-0/0/43
C307 : C1 ; ge-0/0/44
C308 : C1 ; ge-0/0/45
C309 : C2 ; ge-0/0/0
C310 : C2 ; ge-0/0/1
C311 : C2 ; ge-0/0/2
C312 : C2 ; ge-0/0/3
C313 : C2 ; ge-0/0/4
D001 : D1 ; ge-0/0/0
D002 : D1 ; ge-0/0/1
D003 : D1 ; ge-0/0/2
D004 : D1 ; ge-0/0/3
D005 : D1 ; ge-0/0/4
D006 : D1 ; ge-0/0/5
D007 : D1 ; ge-0/0/6
D008 : D1 ; ge-0/0/7
D009 : D1 ; ge-0/0/8
D010 : D1 ; ge-0/0/9
D011 : D1 ; ge-0/0/10
D012 : D1 ; ge-0/0/11
D101 : D1 ; ge-0/0/12
D102 : D1 ; ge-0/0/13
D103 : D1 ; ge-0/0/14
D104 : D1 ; ge-0/0/15
D105 : D1 ; ge-0/0/16
D106 : D1 ; ge-0/0/17
D107 : D1 ; ge-0/0/18
D108 : D1 ; ge-0/0/19
D109 : D1 ; ge-0/0/20
D110 : D1 ; ge-0/0/21
D111 : D1 ; ge-0/0/22
D112 : D1 ; ge-0/0/23
D113 : D1 ; ge-0/0/24
D201 : D1 ; ge-0/0/25
D202 : D1 ; ge-0/0/26
D203 : D1 ; ge-0/0/27
D204 : D1 ; ge-0/0/28
D205 : D1 ; ge-0/0/29
D206 : D1 ; ge-0/0/30
D207 : D1 ; ge-0/0/31
D208 : D1 ; ge-0/0/32
D209 : D1 ; ge-0/0/33
D210 : D1 ; ge-0/0/34
D211 : D1 ; ge-0/0/35
D212 : D1 ; ge-0/0/36
D213 : D1 ; ge-0/0/37
D301 : D1 ; ge-0/0/38
D302 : D1 ; ge-0/0/39
D303 : D1 ; ge-0/0/40
D304 : D1 ; ge-0/0/41
D305 : D1 ; ge-0/0/42
D306 : D1 ; ge-0/0/43
D307 : D1 ; ge-0/0/44
D308 : D1 ; ge-0/0/45
D309 : D2 ; ge-0/0/0
D310 : D2 ; ge-0/0/1
D311 : D2 ; ge-0/0/2
D312 : D2 ; ge-0/0/3
D313 : D2 ; ge-0/0/4
